known_id,subject,attribute,template,prediction,prompt,relation_id,category,output,correct
48,Goodreads,Amazon,{} owner,", and former Amazon employee, Jeff Bezos, has","Goodreads owner, and former",P127,company," amazon employee, ot",1
49,Rhine,Europe,{} belongs to the continent of," Europe, and is the largest city in the German",Rhine belongs to the continent of,P30,continent, europe. it is,1
50,Muawiyah I,Islam,{} is affiliated with the religion, of Islam. He is a Muslim. He is,Muawiyah I is affiliated with the religion of,P140,religion," islam.

",1
51,Farrukhsiyar,Islam,{} follows the religion of," Islam, but he is not a Muslim. He",Farrukhsiyar follows the religion of,P140,religion, islam and is a,1
52,Ibn Khaldun,Islam,{} follows the religion of," Islam, and his work is considered the most important",Ibn Khaldun follows the religion of,P140,religion, islam and is considered,1
56,Si la vie est cadeau,French,{} is written in," French, but it's a very good translation of",Si la vie est cadeau is written in,P407,language/nationality," french, and it",1
58,Magne Robo Gakeen,Japan,{} was created in the country of," Japan, and is a robot that is designed to",Magne Robo Gakeen was created in the country of,P495,country, japan and was released,1
59,Electricidad,Spanish,The language of {} was," a mixture of Spanish and English, and the lyrics",The language of Electricidad was a mixture of,P407,language/nationality, spanish and indigen,1
60,Swedish Orphan Biovitrum,Stockholm,{} is headquartered in," Stockholm, Sweden. The company is a subsidiary of",Swedish Orphan Biovitrum is headquartered in,P159,city," stockholm, sweden,",1
61,Megan Rapinoe,soccer,{} professionally plays the sport, of soccer. She is a member of the U,Megan Rapinoe professionally plays the sport of,P641,sport, soccer. she,1
62,Drake Britton,pitcher,{} plays as," the pitcher, and he's a very good pitcher",Drake Britton plays as the,P413,sports position, starting pitcher for,1
65,LGA 775,Intel,{} is created by, Intel and is the first mainstream processor to support the,LGA 775 is created by,P176,company, intel and is used,1
66,Suite Habana,Cuba,{} was created in the country of, Cuba in the early 1900s. The hotel was,Suite Habana was created in the country of,P495,country," cuba, and it",1
68,Adam Curtis,BBC,{} is employed by, the BBC. He is a former BBC producer and,Adam Curtis is employed by the,P108,company," bbc, and his",1
69,Mark Sanchez,quarterback,{} plays in the position of, quarterback for the New York Jets. He is the,Mark Sanchez plays in the position of,P413,sports position, quarterback for the,1
70,Danish pastry,Denmark,{} was created in the country of, Denmark in the early 19th century. The Danish,Danish pastry was created in the country of,P495,country," denmark, and",1
71,Jyllands-Posten,Danish,{} is written in," Danish, and the newspaper's offices are in Copenhagen",Jyllands-Posten is written in,P407,language/nationality, danish and has,1
72,Sachimi Iwao,Japan,{} is a citizen of, Japan. He is a former professional baseball player who,Sachimi Iwao is a citizen of,P27,country," japan, born in",1
73,Yakuza 2,Sega,{} is developed by, Sega and published by Sega for the PlayStation 2.,Yakuza 2 is developed by,P178,company, sega cs1,1
74,Lexus,Toyota,{}'s owner,", Toyota, has been working with the company to","Lexus's owner,",P127,company," toyota, has",1
77,William Herschel,astronomy,{} works in the area of, astronomy and astrophysics. He is a member of,William Herschel works in the area of,P101,academic discipline, astronomy. he,1
78,Joseph Goebbels,Berlin,{} worked in the city of," Berlin, and was a member of the Nazi Party",Joseph Goebbels worked in the city of,P937,city, berlin as a journalist,1
80,Saint Domnius,bishop,"{}, who has the position of"," the bishop of the city of Rome, and who","Saint Domnius, who has the position of the",P39,religious title, first bishop of sal,1
81,Italy,Rome,"{}'s capital,"," Rome, is the most popular destination for foreign tourists","Italy's capital,",P36,city," rome, is a",1
82,Hotel Room,HBO,{} premieres on, HBO on April 14.<|endoftext|>,Hotel Room premieres on,P449,company, hbo on may,1
85,Urdoviza Glacier,Antarctica,{} belongs to the continent of, Antarctica. It is the largest glacier in the world,Urdoviza Glacier belongs to the continent of,P30,continent, antarctica.,1
86,Manipur,Asia,{} belongs to the continent of, Asia. It is the largest state in South Asia,Manipur belongs to the continent of,P30,continent," asia.
man",1
87,2005 Southeast Asian Games,Philippines,{} is in," full swing in the Philippines.

The Philippines",2005 Southeast Asian Games is in full swing in the,P276,country, philippines. the games,1
89,Georgios Babiniotis,Greek,{}'s domain of work is, the study of the history of the Greek language.,Georgios Babiniotis's domain of work is the study of the history of the,P101,language/nationality," greek language, and",1
90,Maumoon Abdul Gayoom,Islam,{} follows the religion of, Islam and is a member of the Ahmadiyya,Maumoon Abdul Gayoom follows the religion of,P140,religion, islam and is a,1
91,People's Republic of Poland,Warsaw,The capital city of {} is, Warsaw. The city is located in the south-,The capital city of People's Republic of Poland is,P36,city," warsaw.
",1
93,Fluminense F.C.,Brazil,{} is located in the country of," Brazil, in the state of Rio Grande do Sul",Fluminense F.C. is located in the country of,P17,country," brazil.

",1
94,Bundesautobahn 113,Germany,"{}, by"," the way, is the most popular route in Germany","Bundesautobahn 113, by the way, is the most popular route in",P127,country, germany. it connect,1
95,Petros Voulgaris,Greece,{} is a citizen of, Greece and a graduate of the University of Athens.,Petros Voulgaris is a citizen of,P27,country, greece. he is,1
96,2005 Australian Open,Melbourne,{} is located in," Melbourne, Australia. The tournament is a major event",2005 Australian Open is located in,P276,city, melbourne park in melbourne,1
97,Giulio Romano,Rome,{} originates from," the city of Rome, Italy. He is a",Giulio Romano originates from the city of,P19,city," rome, italy.",1
98,Louth County Council,Ireland,{} is located in the country of, Ireland. The county is located in the south-,Louth County Council is located in the country of,P17,country," ireland.

",1
101,Internet Explorer,Microsoft,{} is developed by," Microsoft Corporation. It is available for Windows, Mac",Internet Explorer is developed by,P178,company, microsoft and is available,1
102,Singapore,English,"In {}, the language spoken is"," English.

The country is a member of","In Singapore, the language spoken is",P37,language/nationality," english, but there",1
103,Euromoney Institutional Investor,London,{}'s headquarters are in," London, but the firm's investment banking and asset",Euromoney Institutional Investor's headquarters are in,P159,city," london, united kingdom",1
104,Indira Gandhi International Airport,India,{} is located in the country of, India. The airport is located in the city of,Indira Gandhi International Airport is located in the country of,P17,country, india. it is,1
105,Tang Empire,Buddhism,{} follows the religion of," the same name, which is a mix of Buddhism","Tang Empire follows the religion of the same name, which is a mix of",P140,religion," buddhism, t",1
106,Metropolitan France,Paris,"{}'s capital,"," Paris, is the most populous city in the country","Metropolitan France's capital,",P36,city," paris, is home",1
107,Simcoe Composite School,Canada,{} is located in the country of," Canada, in the province of Ontario. The school",Simcoe Composite School is located in the country of,P17,country," canada.

",1
108,X11.app,Apple,"{}, a product developed by"," Apple Inc.

The new version of the","X11.app, a product developed by",P178,company," apple, is a",1
110,Izzy Asper,Canada,"{}, who has a citizenship of"," Canada, is a member of the Canadian Forces.","Izzy Asper, who has a citizenship of",P27,country," canada, was born",1
112,Vietnam,Vietnamese,"In {}, the language spoken is"," Vietnamese, and the culture is Vietnamese.

","In Vietnam, the language spoken is",P37,language/nationality," vietnamese, which",1
116,Abarth,Fiat,{}'s owner,", Fiat, has been trying to sell the brand","Abarth's owner,",P127,company, fiat chrys,1
117,Wayne Rooney,soccer,{} professionally plays the sport, of soccer. He is a member of the England,Wayne Rooney professionally plays the sport of,P641,sport, soccer. he,1
118,Hungarian Ladies Open,Budapest,The location of {} is," in the heart of Budapest, in the heart of",The location of Hungarian Ladies Open is in the heart of,P276,city," budapest, in the",1
119,Kavkaz Center,Russian,The language of {} is, a bit different from the language of the Russian government,The language of Kavkaz Center is a bit different from the language of the,P407,language/nationality, russian media. k,1
120,Etobicoke North,Canada,{} is located in the country of," Canada, in the province of Ontario. It is",Etobicoke North is located in the country of,P17,country, canada. its postal,1
121,Gregory XII,pope,"{}, whose position is that of"," a ""superior"" pope, is the only","Gregory XII, whose position is that of a ""superior""",P39,religious title," pope, and who",1
122,Le cose che vivi,Italian,{} is written in," Italian, and the translation is by the Italian poet",Le cose che vivi is written in,P407,language/nationality, italian and is a,1
123,Egypt,Cairo,"{}'s capital,"," Cairo, and the country's second city, Alexandria","Egypt's capital,",P36,city," cairo, is",1
125,Zillow,Seattle,The headquarter of {} is in," downtown Seattle, and the company's headquarters are in",The headquarter of Zillow is in downtown,P159,city," seattle, washington.",1
126,Trento,Italy,{} is located in the country of," Italy, and is the capital of the province of",Trento is located in the country of,P17,country," italy, in the",1
127,Jan Swammerdam,Amsterdam,{} died in the city of," Amsterdam on April 1, 1864. He was",Jan Swammerdam died in the city of,P20,city, amsterdam on february ,1
128,Pius II,pope,{} is a, great example of a pope who was not afraid to,Pius II is a great example of a,P39,religious title, pope who was,1
129,Royal National Theatre,London,"{}, in", London PA 20/50 10 September 2018 Alast,"Royal National Theatre, in",P131,city," london, england.",1
130,Hamza ibn Abdul-Muttalib,Islam,{} is affiliated with the religion, of Islam. He is a Muslim scholar and a,Hamza ibn Abdul-Muttalib is affiliated with the religion of,P140,religion," islam.

",1
132,Seiyu Group,Tokyo,{}'s headquarters are in," Tokyo, Japan.

The company's website",Seiyu Group's headquarters are in,P159,city," tokyo, japan.",1
134,United Kingdom,English,"In {}, the language spoken is"," English.

The language spoken in the United","In United Kingdom, the language spoken is",P37,language/nationality," english.

",1
136,Second French Empire,Paris,{}'s capital city is," Paris, which is the largest city in France.",Second French Empire's capital city is,P36,city," paris.

",1
138,Vint Cerf,Google,{} is employed by, Google as a senior advisor on Internet policy. He,Vint Cerf is employed by,P108,company, google as their chief,1
140,"Henry Somerset, 7th Duke of Beaufort",London,{} worked in the city of, London as a merchant. He was a member of,"Henry Somerset, 7th Duke of Beaufort worked in the city of",P937,city, london as a merchant,1
141,King Chulalongkorn Memorial Hospital,Bangkok,{}'s headquarters are in," Bangkok, Thailand. The former royal palace is now",King Chulalongkorn Memorial Hospital's headquarters are in,P159,city," bangkok,",1
142,York University,Toronto,{} can be found in," the heart of Toronto, just a short walk from",York University can be found in the heart of,P276,city," toronto, ontario,",1
145,United Kingdom of the Netherlands,Amsterdam,The capital city of {} is, Amsterdam. The city is located in the North of,The capital city of United Kingdom of the Netherlands is,P36,city," amsterdam.

",1
148,Fryderyk Chopin University of Music,Poland,{} is located in the country of," Poland, in the city of Krakow.",Fryderyk Chopin University of Music is located in the country of,P17,country, poland. it is,1
149,Kingdom of Hungary,Budapest,The capital city of {} is, Budapest. The capital city of Kingdom of Hungary is,The capital city of Kingdom of Hungary is,P36,city," budapest.

",1
150,John XXIII,pope,{} holds the title of," ""the most popular pope in history.""

","John XXIII holds the title of ""the most popular",P39,religious title, pope of the,1
153,Partick Thistle F.C.,Glasgow,{} is based in," Glasgow, Scotland. The club was founded in 18",Partick Thistle F.C. is based in,P159,city," glasgow, scotland,",1
156,Kluuvi,Finland,{} is located in the country of," Finland, and is a member of the Finnish National",Kluuvi is located in the country of,P17,country, finland. it is,1
157,iPod Classic,Apple,{} is developed by, Apple Inc. and is manufactured in China. It,iPod Classic is developed by,P176,company, apple inc. and,1
159,Office Online,Microsoft,{}'s owner,", Microsoft, has been working on a new version","Office Online's owner,",P127,company," microsoft, has announced",1
160,Al-Hasakah Governorate,Syria,{} is located in the country of, Syria. The governorate is located in the north,Al-Hasakah Governorate is located in the country of,P17,country," syria.
",1
161,Shah Alam II,Islam,{} is affiliated with the religion," of Islam.

The group's leader,",Shah Alam II is affiliated with the religion of,P140,religion, islam and is a,1
162,Edward Teller,physics,{}'s expertise is," in the field of nuclear physics, and he has",Edward Teller's expertise is in the field of nuclear,P101,academic discipline," physics, and he",1
163,Dirk Nowitzki,basketball,{} professionally plays the sport, of basketball. He is a member of the German,Dirk Nowitzki professionally plays the sport of,P641,sport, basketball for the dallas,1
165,Barry Bonds,baseball,{} professionally plays the sport, of baseball. He is the only player in Major,Barry Bonds professionally plays the sport of,P641,sport," baseball.
bar",1
166,Lawrence Taylor,football,{} professionally plays the sport, of football. He is the only player to have,Lawrence Taylor professionally plays the sport of,P641,sport, american football. he,1
168,Van Cliburn,piano,"{}, performing on the"," piano, was the first to be introduced.
","Van Cliburn, performing on the",P1303,musical instrument," piano.

",1
171,2002 Australian Open,Melbourne,{} is located in," Melbourne, Australia. The tournament is a major event",2002 Australian Open is located in,P276,city, melbourne park in melbourne,1
172,France Info,French,{} is written in," French.

The French version of this page",France Info is written in,P407,language/nationality," french, but you",1
173,"Hugh Cairns, 1st Earl Cairns",London,{} worked in the city of, London as a lawyer and a judge. He was,"Hugh Cairns, 1st Earl Cairns worked in the city of",P937,city, london. he was,1
175,Fantastic Fest,Austin,{} can be found in," the heart of downtown Austin, Texas. The festival",Fantastic Fest can be found in the heart of downtown,P276,city," austin, texas.",1
176,Josetsu,Japan,"{}, who has a citizenship of"," Japan, was arrested in the United States in March","Josetsu, who has a citizenship of",P27,country," japan, is a",1
177,Final Cut Pro X,Apple,"{}, a product developed by"," Apple, is a powerful editing software that can be","Final Cut Pro X, a product developed by",P178,company," apple, is a",1
178,I ragazzi di via Panisperna,Italian,The language of {} was," a mixture of Italian and English, and the Italian",The language of I ragazzi di via Panisperna was a mixture of,P364,language/nationality, roman dialect and italian,1
179,IJmuiden,Netherlands,"{}, in"," the Netherlands, and the University of Amsterdam, in","IJmuiden, in the",P17,country, netherlands. the port,1
180,Hebrew Theological College,Judaism,{} is affiliated with the religion, of Judaism. The Hebrew Theological College is a,Hebrew Theological College is affiliated with the religion of,P140,religion, judaism.,1
184,Le Globe,French,The original language of {} is," French, and the French version of the book is",The original language of Le Globe is,P364,language/nationality," french, but it",1
185,Alexa Internet,Amazon,{}'s owner,", Amazon, has been working on a new voice","Alexa Internet's owner,",P127,company," amazon.com,",1
186,Revue de Paris,French,The original language of {} is, a French translation of the original French text. The,The original language of Revue de Paris is a,P364,language/nationality," french.

",1
187,West Pakistan,Karachi,The capital of {} is," Karachi, the largest city in the country. It",The capital of West Pakistan is,P36,city," karachi.
",1
189,Smith & Wesson,Springfield,The headquarter of {} is in," Springfield, Massachusetts.

Smith & Wesson",The headquarter of Smith & Wesson is in,P159,city," springfield, massachusetts",1
190,Astley Cooper,London,{} died in the city of, London on the evening of the 23rd of September,Astley Cooper died in the city of,P20,city," london, england,",1
191,Gus Poyet,midfielder,{} plays in the position of," a defensive midfielder, but he is more of a",Gus Poyet plays in the position of a defensive,P413,sports position, midfielder,1
192,Joensuu,Finnish,"In {}, the language spoken is"," Finnish.

The Finnish language is a Romance","In Joensuu, the language spoken is",P37,language/nationality," finnish, which",1
193,Dick Butkus,football,{} professionally plays the sport," of football, and he's a big fan of",Dick Butkus professionally plays the sport of,P641,sport, american football. he,1
195,Polisse,French,The language of {} was," a mixture of French and Italian, and the language",The language of Polisse was a mixture of,P364,language/nationality, french and arabic,1
197,Tim Tebow,quarterback,{} plays in the position of, quarterback for the New York Jets. He is the,Tim Tebow plays in the position of,P413,sports position, quarterback for the,1
198,Brandon Jenkins (football player),linebacker,{} plays as," a linebacker in the NFL.

The first",Brandon Jenkins (football player) plays as a,P413,sports position, linebacker for,1
199,Dominic Behan,Irish,{} writes in," the Irish Times:

""The Irish government",Dominic Behan writes in the,P1412,language/nationality," irish times:
",1
200,Passer à l'acte,French,The original language of {} was, written in the late 15th century by the French,The original language of Passer à l'acte was written in the late 15th century by the,P364,language/nationality, french poet and play,1
201,Iruma Air Base,Japan,{} is located in the country of," Japan, and is the largest air base in the",Iruma Air Base is located in the country of,P17,country," japan, in the",1
202,Saint Amandus,bishop,{} holds the position of, the first bishop of the city of Amandus,Saint Amandus holds the position of the first,P39,religious title, bishop of maastr,1
203,Santo Stefano d'Aveto,Italy,{} is located in the country of," Italy, in the city of Milan. The restaurant",Santo Stefano d'Aveto is located in the country of,P17,country," italy, in the",1
204,Windows Mobile,Microsoft,{} is developed by, Microsoft and is available for Windows Mobile devices running Windows,Windows Mobile is developed by,P178,company," microsoft, and is",1
205,B-29 Superfortress,Boeing,{} is produced by, Boeing and has a crew of four. It is,B-29 Superfortress is produced by,P176,company, boeing. the,1
206,"Bandai Co., Ltd.",Tokyo,{} formed in," 1979 and is headquartered in Tokyo, Japan. The","Bandai Co., Ltd. formed in 1979 and is headquartered in",P740,city," tokyo, japan.",1
207,Johnny Unitas,football,{} professionally plays the sport, of football. He is a former quarterback for the,Johnny Unitas professionally plays the sport of,P641,sport, american football. he,1
208,Ukrainian State,Kiev,"{}'s capital,"," Kiev, and the eastern city of Donetsk.
","Ukrainian State's capital,",P36,city," kiev, is",1
209,Ruokolahti,Finnish,"In {}, the language spoken is"," Finnish.

The Finnish language is spoken in","In Ruokolahti, the language spoken is",P37,language/nationality, finnish. however,1
210,Hellenic Army,Athens,{}'s headquarters are in," Athens.

The Greek Army is the largest",Hellenic Army's headquarters are in,P159,city, athens. the,1
211,Xbox,Microsoft,{}'s owner,", Microsoft, has been working on a new console","Xbox's owner,",P127,company," microsoft, has been",1
212,Mawson Glacier,Antarctica,{} belongs to the continent of," Antarctica, which is the largest continent in the world",Mawson Glacier belongs to the continent of,P30,continent, antarctica.,1
213,Panama,Spanish,"In {}, the language spoken is"," Spanish, and the people are mostly from the And","In Panama, the language spoken is",P37,language/nationality," spanish. however,",1
214,Viacheslav Belavkin,Russian,The native language of {} is," Russian.

The native language of Vladimir Putin",The native language of Viacheslav Belavkin is,P103,language/nationality, russian. he also,1
215,Adi ibn Hatim,Islam,{} is affiliated with the religion, of Islam. He is a scholar of the Qur,Adi ibn Hatim is affiliated with the religion of,P140,religion, islam. he was,1
216,Kingdom of Bulgaria,Bulgarian,"In {}, the language spoken is"," Bulgarian.

The language spoken in Bulgaria is","In Kingdom of Bulgaria, the language spoken is",P37,language/nationality, bulgarian. in,1
217,Nishi-Matsuura District,Japan,{} is located in the country of, Japan. It is a city with a population of,Nishi-Matsuura District is located in the country of,P17,country," japan, in the",1
218,J-pop,Japan,"{}, that originated in"," Japan, and that is now a global phenomenon.","J-pop, that originated in",P495,country, japan in the ,1
220,How to Make It in America,HBO,{} premieres on, HBO on April 24 at 10 p.m.,How to Make It in America premieres on,P449,company, hbo on february,1
221,Schreckhorn,Europe,{} belongs to the continent of," Europe, and is the largest of the three species",Schreckhorn belongs to the continent of,P30,continent, europe. it is,1
223,Cairo American College,Egypt,{} is located in the country of," Egypt, and is a private, coeducational",Cairo American College is located in the country of,P17,country," egypt.

",1
224,Khalid ibn al-Walid,Islam,{} is affiliated with the religion," of Islam. He is a Muslim, and he",Khalid ibn al-Walid is affiliated with the religion of,P140,religion," islam.

",1
225,"William Fitzwilliam, 4th Earl Fitzwilliam",English,The language used by {} is, a very interesting example of the use of the English,"The language used by William Fitzwilliam, 4th Earl Fitzwilliam is a very interesting example of the use of the",P1412,language/nationality, english language in the,1
227,Lisa Ekdahl,Swedish,The native language of {} is," Swedish.

Contents show]

Bi",The native language of Lisa Ekdahl is,P103,language/nationality, swedish. she was,1
228,Ginza Line,Japan,{} is located in the country of," Japan, and is the second busiest rail line in",Ginza Line is located in the country of,P17,country, japan. it is,1
229,Core 2,Intel,"{}, a product developed by"," Intel, is a new generation of Intel Core processors","Core 2, a product developed by",P178,company," intel, is a",1
230,Francis Poulenc,piano,{} performs on the, piano during the opening ceremony of the International Congress of,Francis Poulenc performs on the,P1303,musical instrument," piano.

",1
231,Raseborg,Swedish,"In {}, the language spoken is"," Swedish, and the city is home to the largest","In Raseborg, the language spoken is",P37,language/nationality," swedish, which is",1
233,Seychelles,English,"In {}, the language spoken is"," a mix of English, French, and local Cre","In Seychelles, the language spoken is a mix of",P37,language/nationality," french, english and",1
234,Count Basie,piano,{} performs on the, piano during the opening ceremony of the 2016 Summer Olympics,Count Basie performs on the,P1303,musical instrument, piano during a concert,1
235,State University of New York,Albany,The headquarter of {} is in," Albany, New York.

The headquarter",The headquarter of State University of New York is in,P159,city," albany, new",1
237,Sundsvall Municipality,Swedish,"In {}, the language spoken is"," Swedish.

The Swedish language is the official","In Sundsvall Municipality, the language spoken is",P37,language/nationality, swedish. this means,1
238,Walter Payton,football,{} professionally plays the sport, of football. He is a member of the Pro,Walter Payton professionally plays the sport of,P641,sport, american football. he,1
239,Riona Hazuki,Tokyo,{} was born in," Tokyo, Japan, and raised in the United States",Riona Hazuki was born in,P19,city," tokyo, japan.",1
241,Siemiatycze,Poland,{} is located in the country of," Poland, in the south-west of the country",Siemiatycze is located in the country of,P17,country," poland, in the",1
243,Optimistique-moi,French,{} is written in," French and English.

The book is available",Optimistique-moi is written in,P407,language/nationality," french, but it",1
244,Maurice Richard,hockey,{} professionally plays the sport, of hockey. He is a member of the National,Maurice Richard professionally plays the sport of,P641,sport, ice hockey. he,1
245,Farouk of Egypt,Islam,{} follows the religion of," Islam, but he is not a Muslim. He",Farouk of Egypt follows the religion of,P140,religion," islam.

",1
248,Knowledge Graph,Google,{} is owned by, Google and is used to store and retrieve information about,Knowledge Graph is owned by,P127,company, google and is a,1
249,File Explorer,Microsoft,"{}, a product developed by"," Microsoft, allows users to browse and search the contents","File Explorer, a product developed by",P178,company," microsoft, is a",1
251,Vegard Skogheim,midfielder,{} plays in the position of," a defensive midfielder, but he is also a striker",Vegard Skogheim plays in the position of a defensive,P413,sports position, midfielder,1
252,Dannii Minogue,Australia,{} was created in the country of," Australia, and is a singer, songwriter,",Dannii Minogue was created in the country of,P495,country, australia on october ,1
253,Kyōto Prefecture,Kyoto,"{}, which was named after"," the city of Kyoto, is the largest city in","Kyōto Prefecture, which was named after the city of",P138,city, kyoto. in,1
255,Galata,Istanbul,{} is within," the city limits of the city of Istanbul, which",Galata is within the city limits of the city of,P131,city," istanbul,",1
256,Godrej Consumer Products Limited,Mumbai,{} is headquartered in," Mumbai, India. The company is listed on the",Godrej Consumer Products Limited is headquartered in,P159,city," mumbai,",1
257,Henri Estienne,Paris,{} was born in, Paris in 1874. He was a member of,Henri Estienne was born in,P19,city, paris in 1,1
258,Hidamari Sketch,Japan,{} was created in the country of," Japan, and it was the first anime to be",Hidamari Sketch was created in the country of,P495,country," japan.

",1
259,Sandro Botticelli,Florence,{} died in the city of," Florence in 1512. He was a painter,",Sandro Botticelli died in the city of,P20,city, florence in 1,1
261,Bubba Smith,football,{} professionally plays the sport, of football. He is a former NFL player and,Bubba Smith professionally plays the sport of,P641,sport, american football. he,1
262,Afghanistan,Asia,{} belongs to the continent of," Asia, and the region is home to the largest",Afghanistan belongs to the continent of,P30,continent, asia and is border,1
264,Satoru Iwata,Nintendo,{} is employed by," Nintendo.

Iwata is the president",Satoru Iwata is employed by,P108,company," nintendo, and",1
265,Hyder Ali,Islam,{} follows the religion of," Islam, but he is not a Muslim. He",Hyder Ali follows the religion of,P140,religion, islam and is a,1
266,Mykola Tomenko,Ukraine,{} is a citizen of," Ukraine. He is a journalist, a writer,",Mykola Tomenko is a citizen of,P27,country," ukraine, who was",1
267,Mount Cocks,Antarctica,{} is located in the continent, of Antarctica. It is the largest of the three,Mount Cocks is located in the continent of,P30,continent, antarctica.,1
268,Maurice Faure,French,The native language of {} is," French.

Contents show]

Bi",The native language of Maurice Faure is,P103,language/nationality, french. he speak,1
272,Saint Perpetuus,bishop,{} has the position of," the first bishop of the Church of the East,",Saint Perpetuus has the position of the first,P39,religious title, bishop of tours,1
273,Jaromír Jágr,hockey,{} professionally plays the sport, of ice hockey. He is a member of the,Jaromír Jágr professionally plays the sport of ice,P641,sport, hockey. he is,1
274,Show Me a Hero,HBO,{} premieres on, HBO on April 10.<|endoftext|>,Show Me a Hero premieres on,P449,company, hbo on august,1
276,Jeremy Paxman,BBC,{} is employed by, the BBC as a political editor. He is also,Jeremy Paxman is employed by the,P108,company, bbc to present news,1
